2026-02-21 09:29:51.454695 | Features: [3, 51.97465749989329, 1, 10] | Prediction: 0 | Risk Score: 0.36%
2026-02-21 09:29:53.476045 | Features: [11, 0.45046150191017986, 0, 23] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:29:55.502951 | Features: [2, 44.241642276727944, 0, 9] | Prediction: 0 | Risk Score: 0.33%
2026-02-21 09:29:57.528221 | Features: [4, 38.19225945391818, 0, 6] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:29:59.552406 | Features: [10, 0.731589912787747, 0, 43] | Prediction: 1 | Risk Score: 94.67%
2026-02-21 09:30:01.578947 | Features: [1, 24.328498810837793, 0, 9] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:03.604755 | Features: [19, 0.3742016637442951, 0, 21] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:30:05.631751 | Features: [20, 0.7957658219075064, 0, 30] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:30:07.659152 | Features: [1, 42.21435412389464, 0, 5] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:09.682229 | Features: [11, 0.5070575424182502, 0, 43] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:30:11.704275 | Features: [14, 0.37006111614864445, 0, 50] | Prediction: 1 | Risk Score: 98.67%
2026-02-21 09:30:13.725921 | Features: [11, 0.788637661728972, 0, 26] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:30:15.748050 | Features: [18, 0.6599070820161971, 0, 26] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:30:17.773817 | Features: [2, 19.79199171367354, 0, 9] | Prediction: 0 | Risk Score: 1.0%
2026-02-21 09:30:19.798612 | Features: [1, 50.87423755330268, 1, 5] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:21.825319 | Features: [0, 50.53127806598579, 0, 7] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:23.849329 | Features: [19, 0.9789961822960483, 0, 49] | Prediction: 1 | Risk Score: 98.0%
2026-02-21 09:30:25.875619 | Features: [1, 22.29999229127207, 1, 1] | Prediction: 0 | Risk Score: 1.17%
2026-02-21 09:30:27.903405 | Features: [0, 33.229002976513016, 0, 3] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:29.929604 | Features: [2, 29.063534915172884, 0, 1] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:31.959200 | Features: [0, 42.322213164415075, 1, 1] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:33.987893 | Features: [3, 53.50941707938709, 1, 5] | Prediction: 0 | Risk Score: 0.61%
2026-02-21 09:30:36.014835 | Features: [0, 40.25948872071904, 1, 4] | Prediction: 0 | Risk Score: 0.43%
2026-02-21 09:30:38.037633 | Features: [0, 50.857970755435495, 0, 1] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:40.060725 | Features: [20, 0.13918581048709747, 0, 43] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:30:42.085272 | Features: [5, 5.087035075073317, 0, 10] | Prediction: 0 | Risk Score: 0.0%
2026-02-21 09:30:44.112453 | Features: [1, 58.54829464777819, 0, 4] | Prediction: 0 | Risk Score: 1.33%
2026-02-21 09:30:46.142825 | Features: [2, 59.92111774996708, 1, 1] | Prediction: 0 | Risk Score: 1.33%
2026-02-21 09:30:48.170032 | Features: [4, 52.36075527456917, 0, 7] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:30:50.196535 | Features: [13, 0.8859706233866612, 0, 40] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:30:52.221523 | Features: [11, 0.7816251008367745, 0, 33] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:30:54.247153 | Features: [18, 0.5165068556937408, 0, 50] | Prediction: 1 | Risk Score: 98.67%
2026-02-21 09:30:56.273873 | Features: [1, 58.96557904094178, 0, 6] | Prediction: 0 | Risk Score: 0.0%
2026-02-21 09:30:58.299831 | Features: [14, 0.9364822167298289, 0, 44] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:00.328219 | Features: [0, 49.45020716663551, 0, 9] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:31:02.363188 | Features: [11, 0.5150985450397035, 0, 28] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:04.390425 | Features: [18, 0.8323308960927526, 0, 29] | Prediction: 1 | Risk Score: 100.0%
